Sample,Q,Value,patient,timepoint
ANBL-CHP-Patient20-T0-M-DNA_mixcr_out.clones_TRB,1,179.96926759778,Patient20,pTx
ANBL-CHP-Patient20-T2-M-DNA_mixcr_out.clones_TRB,1,362.531131112758,Patient20,ePC
ANBL-CHP-Patient21-T2-M-DNA_mixcr_out.clones_TRB,1,81.2267595743685,Patient21,ePC
ANBL-CHP-Patient21-T4-M-DNA_mixcr_out.clones_TRB,1,202.312917119416,Patient21,pSu
ANBL-CHP-Patient22-T0-M-DNA_mixcr_out.clones_TRB,1,907.538553015863,Patient22,pTx
ANBL-CHP-Patient22-T1-M-DNA_mixcr_out.clones_TRB,1,95.6008199074028,Patient22,pI4
ANBL-CHP-Patient23-T0-M-DNA_mixcr_out.clones_TRB,1,377.677929941863,Patient23,pTx
ANBL-CHP-Patient23-T1-M-DNA_mixcr_out.clones_TRB,1,330.84832417327,Patient23,pI4
ANBL-CHP-Patient23-T2-M-DNA_mixcr_out.clones_TRB,1,602.04615920128,Patient23,ePC
ANBL-CHP-Patient24-T0-M-DNA_mixcr_out.clones_TRB,1,531.135345593969,Patient24,pTx
ANBL-CHP-Patient24-T1-M-DNA_mixcr_out.clones_TRB,1,354.667197361713,Patient24,pI4
ANBL-CHP-Patient24-T2-M-DNA_mixcr_out.clones_TRB,1,88.5158993347045,Patient24,ePC
ANBL-CHP-Patient25-T0-M-DNA_mixcr_out.clones_TRB,1,634.673536954046,Patient25,pTx
ANBL-CHP-Patient25-T2-M-DNA_mixcr_out.clones_TRB,1,679.639362850704,Patient25,ePC
ANBL-CHP-Patient25-T4-M-DNA_mixcr_out.clones_TRB,1,249.169568172439,Patient25,pSu
ANBL-CHP-Patient26-T0-M-DNA_mixcr_out.clones_TRB,1,277.779234667536,Patient26,pTx
ANBL-CHP-Patient26-T1-M-DNA_mixcr_out.clones_TRB,1,490.994679229386,Patient26,pI4
ANBL-CHP-Patient26-T2-M-DNA_mixcr_out.clones_TRB,1,640.0469350837,Patient26,ePC
ANBL-CHP-Patient27-T0-M-DNA_mixcr_out.clones_TRB,1,256.251566368097,Patient27,pTx
ANBL-CHP-Patient27-T1-M-DNA_mixcr_out.clones_TRB,1,200.680421741015,Patient27,pI4
ANBL-CHP-Patient27-T2-M-DNA_mixcr_out.clones_TRB,1,298.861821899207,Patient27,ePC
ANBL-CHP-Patient28-T0-M-DNA_mixcr_out.clones_TRB,1,52.3772178149532,Patient28,pTx
ANBL-CHP-Patient28-T2-M-DNA_mixcr_out.clones_TRB,1,441.883507698066,Patient28,ePC
ANBL-CHP-Patient28-T4-M-DNA_mixcr_out.clones_TRB,1,8.01572549077432,Patient28,pSu
ANBL-CHP-Patient29-T0-M-DNA_mixcr_out.clones_TRB,1,357.138683900073,Patient29,pTx
ANBL-CHP-Patient29-T2-M-DNA_mixcr_out.clones_TRB,1,543.842703290323,Patient29,ePC
ANBL-CHP-Patient29-T4-M-DNA_mixcr_out.clones_TRB,1,378.488064783166,Patient29,pSu
ANBL-CHP-Patient30-T0-M-DNA_mixcr_out.clones_TRB,1,509.121640257317,Patient30,pTx
ANBL-CHP-Patient30-T2-M-DNA_mixcr_out.clones_TRB,1,529.675160429733,Patient30,ePC
ANBL-CHP-Patient30-T4-M-DNA_mixcr_out.clones_TRB,1,132.01648436977,Patient30,pSu
ANBL-CHP-Patient31-T0-M-DNA_mixcr_out.clones_TRB,1,167.049402332972,Patient31,pTx
ANBL-CHP-Patient31-T2-M-DNA_mixcr_out.clones_TRB,1,153.651222839237,Patient31,ePC
ANBL-CHP-Patient31-T4-M-DNA_mixcr_out.clones_TRB,1,134.970277933995,Patient31,pSu
ANBL-CHP-Patient32-T0-M-DNA_mixcr_out.clones_TRB,1,254.995718706684,Patient32,pTx
ANBL-CHP-Patient32-T2-M-DNA_mixcr_out.clones_TRB,1,719.825174770286,Patient32,ePC
ANBL-CHP-Patient32-T4-M-DNA_mixcr_out.clones_TRB,1,21.1322325255714,Patient32,pSu
ANBL-CHP-Patient33-T0-M-DNA_mixcr_out.clones_TRB,1,287.497417710588,Patient33,pTx
ANBL-CHP-Patient33-T2-M-DNA_mixcr_out.clones_TRB,1,194.66231999566,Patient33,ePC
ANBL-CHP-Patient33-T4-M-DNA_mixcr_out.clones_TRB,1,177.049312938423,Patient33,pSu
ANBL-CHP-Patient34-T0-M-DNA_mixcr_out.clones_TRB,1,263.472048543552,Patient34,pTx
ANBL-CHP-Patient34-T2-M-DNA_mixcr_out.clones_TRB,1,164.367510076693,Patient34,ePC
ANBL-CHP-Patient34-T4-M-DNA_mixcr_out.clones_TRB,1,127.547591459735,Patient34,pSu
ANBL-CHP-Patient35-T0-M-DNA_mixcr_out.clones_TRB,1,742.713192149186,Patient35,pTx
ANBL-CHP-Patient35-T4-M-DNA_mixcr_out.clones_TRB,1,34.728461483091,Patient35,pSu
ANBL-CHP-Patient36-T0-M-DNA_mixcr_out.clones_TRB,1,74.0082125185858,Patient36,pTx
ANBL-CHP-Patient36-T1-M-DNA_mixcr_out.clones_TRB,1,191.254584581371,Patient36,pI4
